src,dst,dscp,size,latency
0,2,10,365690,411459
0,2,10,354467,443333
0,2,10,1712,273875
0,2,10,52228,398125
0,2,10,7488,198833
0,2,10,29,171500
0,2,10,472013,560458
0,2,10,358311,540167
0,2,10,34701,197209
0,2,10,216,145875
0,2,10,43928,151541
0,2,10,505,216125
0,2,10,686,198833
0,2,10,462,147917
0,2,10,910,155208
0,2,10,16057,137375
0,2,10,82121,157875
0,2,10,524504,376792
0,2,10,118068,219916
0,2,10,303885,305666
0,2,10,917,138667
0,2,10,275127,408625
0,2,10,985,309375
0,2,10,3680,251209
0,2,10,461,120500
0,2,10,8413,117500
0,2,10,182499,327167
0,2,10,238304,369708
0,2,10,380,100042
0,2,10,61118,206208
0,2,10,703660,504834
0,2,10,894010,1035417
0,2,10,1046,790166
0,2,10,66340,1035167
0,2,10,7948,131875
0,2,10,81715,661208
0,2,10,752647,613334
0,2,10,19276,152333
0,2,10,970650,974083
0,2,10,5011,307416
0,2,10,687732,621958
0,2,10,20482,382042
0,2,10,1561,141375
0,2,10,434027,440291
0,2,10,585,426959
0,2,10,51642,451666
0,2,10,902,331166
0,2,10,1078,125167
0,2,10,8761,247042
0,2,10,65362,355250
0,2,10,92923,385000
0,2,10,6596,195666
0,2,10,9734,290583
0,2,10,401964,348833
0,2,10,836,198750
0,2,10,6446,155584
0,2,10,648,144500
0,2,10,454,85416
0,2,10,604728,618292
0,2,10,68571,625584
0,2,10,8846,401916
0,2,10,241,206416
0,2,10,454492,340125
0,2,10,464246,491292
0,2,10,60869,393500
0,2,10,5256,397875
0,2,10,12540,90500
0,2,10,3933,201000
0,2,10,418,163166
0,2,10,884,199167
0,2,10,799,199500
0,2,10,5978,314333
0,2,10,668,321375
0,2,10,60636,164334
0,2,10,5433,177208
0,2,10,2508,170875
0,2,10,68189,157042
0,2,10,53969,216333
0,2,10,832,132084
0,2,10,34011,171000
0,2,10,946,136250
0,2,10,84863,401500
0,2,10,48521,211833
0,2,10,3907,67875
0,2,10,43312,224792
0,2,10,2576,185375
0,2,10,6555,181791
0,2,10,3210,98208
0,2,10,558,96167
0,2,10,89008,287416
0,2,10,404260,353583
0,2,10,24388,301333
0,2,10,988,327084
0,2,10,128005,399291
0,2,10,7325,99792
0,2,10,917,78792
0,2,10,268807,1970833
0,2,10,49061,1364292
0,2,10,837905,1581166
0,2,10,964,1024666
0,2,10,305894,1000750
0,2,10,77481,878875
0,2,10,8435,831083
0,2,10,8309,691792
0,2,10,9465,408625
0,2,10,534370,1701042
0,2,10,2927,1296833
0,2,10,67080,653041
0,2,10,1515,533708
0,2,10,707,735500
0,2,10,8091,641792
0,2,10,36079,711750
0,2,10,499,356833
0,2,10,197339,1125791
0,2,10,9844,671917
0,2,10,46371,471208
0,2,10,77244,601834
0,2,10,1093,1067167
0,2,10,783,1178000
0,2,10,3671,1243834
0,2,10,1398,1284167
0,2,10,98,1176458
0,2,10,890454,3183500
0,2,10,1864,2279458
0,2,10,87534,2377125
0,2,10,982,789291
0,2,10,8141,802792
0,2,10,8335,765625
0,2,10,6628,1756500
0,2,10,891879,1751959
0,2,10,1912,1742542
0,2,10,73066,1476667
0,2,10,6517,258250
0,2,10,1677,169333
0,2,10,3244,181667
0,2,10,32029,216709
0,2,10,61621,1030750
0,2,10,90966,983542
0,2,10,42641,640708
0,2,10,875,588000
0,2,10,1052,601625
0,2,10,741,334833
0,2,10,953221,2330125
0,2,10,346,1604708
0,2,10,19817,261208
0,2,10,44110,439542
0,2,10,3734,246667
0,2,10,4842,221083
0,2,10,912,230917
0,2,10,693,676333
0,2,10,1526,681750
0,2,10,688,580000
0,2,10,89460,622417
0,2,10,1250,652541
0,2,10,7845,501666
0,2,10,9764,453458
0,2,10,132,675375
0,2,10,45306,917417
0,2,10,22143,646750
0,2,10,9535,875417
0,2,10,867,824125
0,2,10,76,696875
0,2,10,894,475417
0,2,10,696,466750
0,2,10,140805,1927333
0,2,10,245027,2209292
0,2,10,5970,1175792
0,2,10,463483,1415250
0,2,10,252469,786875
0,2,10,77001,774875
0,2,10,6900,229459
0,2,10,29664,869250
0,2,10,801390,1394750
0,2,10,505832,1748500
0,2,10,10685,598250
0,2,10,924,616125
0,2,10,580,346583
0,2,10,236355,845959
0,2,10,1590,626292
0,2,10,24933,608792
0,2,10,883,554833
0,2,10,62422,940417
0,2,10,831,974542
0,2,10,48367,854375
0,2,10,3444,1124333
0,2,10,260203,1182417
0,2,10,641,945250
0,2,10,0,966292
0,2,10,8536,245709
0,2,10,430760,1223125
0,2,10,393,1639875
0,2,10,995789,1918417
0,2,10,212758,2411500
0,2,10,937870,2298208
0,2,10,38236,1509500
0,2,10,241821,957084
0,2,10,400,201667
0,2,10,68981,256459
0,2,10,608,325334
0,2,10,261893,591917
0,2,10,794343,1083458
0,2,10,414,235750
0,2,10,73810,397459
0,2,10,850119,1200875
0,2,10,172531,695958
0,2,10,9642,621834
0,2,10,86971,291792
0,2,10,5788,199833
0,2,10,2749,658708
0,2,10,315,644042
0,2,10,2534,681500
0,2,10,196607,806958
0,2,10,63107,303417
0,2,10,2102,235917
0,2,10,655,401083
0,2,10,8475,260500
0,2,10,70726,322750
0,2,10,837951,1982666
0,2,10,57920,1174291
0,2,10,5846,1079916
0,2,10,299252,639083
0,2,10,99489,269250
0,2,10,48,143208
0,2,10,578,171500
0,2,10,4710,554084
0,2,10,442075,707500
0,2,10,7,1558417
0,2,10,147,2129292
0,2,10,473492,2168375
0,2,10,504,969250
0,2,10,32974,945500
0,2,10,5798,912375
0,2,10,213,754708
0,2,10,867,853708
0,2,10,87347,992750
0,2,10,9257,678167
0,2,10,8885,707458
0,2,10,72622,1070583
0,2,10,59090,1173791
0,2,10,7415,498208
0,2,10,465,253125
0,2,10,3110,311333
0,2,10,4201,321166
0,2,10,6155,464458
0,2,10,3339,469583
0,2,10,718,442917
0,2,10,983,215500
0,2,10,796480,1306167
0,2,10,153,1083042
0,2,10,80484,533250
0,2,10,243801,2216584
0,2,10,957195,1863042
0,2,10,9115,1740166
0,2,10,351073,2223375
0,2,10,6471,821292
0,2,10,244,225584
0,2,10,454,285291
0,2,10,744228,2349000
0,2,10,47931,2326709
0,2,10,324938,877708
0,2,10,9782,695250
0,2,10,32003,593250
0,2,10,74201,635500
0,2,10,846672,1661708
0,2,10,3297,403541
0,2,10,6349,422958
0,2,10,881,567917
0,2,10,62,700250
0,2,10,6097,518042
0,2,10,36271,724500
0,2,10,69531,704000
0,2,10,51944,259375
0,2,10,604993,3056792
0,2,10,7866,2557292
0,2,10,723310,1852375
0,2,10,39330,313083
0,2,10,780868,3170875
0,2,10,52695,1687458
0,2,10,69128,669125
0,2,10,7663,924584
0,2,10,445,887834
0,2,10,8175,474083
0,2,10,1366,666542
0,2,10,54484,1227416
0,2,10,319,1178667
0,2,10,19268,545375
0,2,10,484,535958
0,2,10,5273,566875
0,2,10,96580,618000
0,2,10,4767,791542
0,2,10,298917,897417
0,2,10,30656,508375
0,2,10,692,407542
0,2,10,907,424542
0,2,10,241190,1132458
0,2,10,549,766375
0,2,10,281130,962083
0,2,10,2516,411250
0,2,10,26466,243208
0,2,10,73625,999042
0,2,10,8631,734083
0,2,10,367526,988667
0,2,10,786,233666
0,2,10,339,1048292
0,2,10,84694,972166
0,2,10,817177,2824791
0,2,10,346,1329458
0,2,10,41055,1366292
0,2,10,44371,1326417
0,2,10,82294,1355250
0,2,10,4408,561041
0,2,10,5091,456792
0,2,10,42243,796208
0,2,10,83024,854625
0,2,10,598174,2049292
0,2,10,976027,1576875
0,2,10,435,700125
0,2,10,21849,789000
0,2,10,9810,264208
0,2,10,37360,549500
0,2,10,5552,543375
0,2,10,39116,438750
0,2,10,914,532375
0,2,10,2819,333041
0,2,10,24434,358042
0,2,10,49900,266000
0,2,10,46050,933708
0,2,10,68743,972834
0,2,10,508471,1049959
0,2,10,56669,970041
0,2,10,406833,906291
0,2,10,29662,1276250
0,2,10,19514,338333
0,2,10,748,520292
0,2,10,663825,2658333
0,2,10,399599,2351584
0,2,10,2964,462542
0,2,10,60592,2343333
0,2,10,839551,2872916
0,2,10,2296,1835459
0,2,10,312229,2360125
0,2,10,90936,2032541
0,2,10,932487,3424292
0,2,10,2705,3402583
0,2,10,407907,2601000
0,2,10,149504,1087916
0,2,10,937720,1707083
0,2,10,627094,1970292
0,2,10,1027,1682666
0,2,10,271,156667
0,2,10,16027,1099125
0,2,10,688014,1088333
0,2,10,676,782000
0,2,10,5899,857291
0,2,10,16145,522875
0,2,10,2133,367542
0,2,10,312247,1288459
0,2,10,5817,809167
0,2,10,963,861542
0,2,10,28684,1335458
0,2,10,170207,876792
0,2,10,85707,718708
0,2,10,788,312625
0,2,10,54552,380875
0,2,10,19833,368125
0,2,10,7262,406167
0,2,10,419,390625
0,2,10,66475,423917
0,2,10,731,992708
0,2,10,6496,1138125
0,2,10,6485,1138708
0,2,10,6000,602625
0,2,10,9653,738625
0,2,10,62294,748666
0,2,10,82085,3291833
0,2,10,8052,3223584
0,2,10,140737,3234042
0,2,10,85580,3177500
0,2,10,1705,3131125
0,2,10,159073,2177916
0,2,10,767985,2390583
0,2,10,4386,319334
0,2,10,81393,2090083
0,2,10,511,1546166
0,2,10,975179,2163125
0,2,10,9068,278833
0,2,10,4172,309125
0,2,10,2094,266916
0,2,10,736742,1708584
0,2,10,11554,1686541
0,2,10,6849,1834417
0,2,10,533,1636125
0,2,10,3703,1640208
0,2,10,17572,510917
0,2,10,56,326792
0,2,10,6507,315542
0,2,10,2015,170875
0,2,10,88547,534250
0,2,10,612118,1898167
0,2,10,492,428959
0,2,10,493594,995083
0,2,10,6670,729291
0,2,10,2273,646042
0,2,10,1000,2003750
0,2,10,96191,2023459
0,2,10,863655,2365833
0,2,10,797,1449000
0,2,10,419169,2087208
0,2,10,90051,2137459
0,2,10,1669,1085334
0,2,10,2518,1397000
0,2,10,495032,1933875
0,2,10,3908,1213458
0,2,10,4026,1166709
0,2,10,2382,399958
0,2,10,671,470250
0,2,10,194,170750
0,2,10,620054,1776792
0,2,10,4033,907834
0,2,10,578,408166
0,2,10,481,862250
0,2,10,402,950083
0,2,10,25505,854042
0,2,10,17221,786167
0,2,10,130530,567500
0,2,10,966,341833
0,2,10,41,331000
0,2,10,53575,2188375
0,2,10,317509,2179792
0,2,10,281600,2740458
0,2,10,972598,2220250
0,2,10,507,239875
0,2,10,292496,946834
0,2,10,383,864458
0,2,10,32314,2655833
0,2,10,753439,4982208
0,2,10,821440,6059458
0,2,10,2349,4994334
0,2,10,37992,4023916
0,2,10,923,3036417
0,2,10,4725,3073917
0,2,10,475,4107916
0,2,10,53309,2897958
0,2,10,434871,1671042
0,2,10,98764,624500
0,2,10,66513,571583
0,2,10,234,343333
0,2,10,5070,430833
0,2,10,756144,2336458
0,2,10,301889,2484416
0,2,10,3976,1223916
0,2,10,70037,1888500
0,2,10,260,844000
0,2,10,962514,3493042
0,2,10,490,2362000
0,2,10,96151,3720375
0,2,10,8247,2108167
0,2,10,282,2200791
0,2,10,1360,1464042
0,2,10,98913,1536500
0,2,10,778,1450042
0,2,10,71836,3185042
0,2,10,639328,2729791
0,2,10,534,1996000
0,2,10,66112,2635750
0,2,10,1119,2020625
0,2,10,1158,2400500
0,2,10,978,1710542
0,2,10,348774,1995875
0,2,10,52968,951708
0,2,10,20940,592625
0,2,10,130113,651542
0,2,10,707,356500
0,2,10,832,383541
0,2,10,1833,628083
0,2,10,931,632083
0,2,10,6383,624291
0,2,10,4318,380333
0,2,10,6676,427667
0,2,10,5298,376167
0,2,10,995,428833
0,2,10,40630,1120917
0,2,10,975,1112166
0,2,10,666,1138750
0,2,10,7903,1030834
0,2,10,93713,710625
0,2,10,751584,2616709
0,2,10,3429,2352417
0,2,10,28853,2241042
0,2,10,64602,2602916
0,2,10,543,751583
0,2,10,14373,806291
0,2,10,8731,323208
0,2,10,132,434166
0,2,10,679626,1974000
0,2,10,87,1607833
0,2,10,81651,747083
0,2,10,94167,676209
0,2,10,35406,687958
0,2,10,395172,814083
0,2,10,482,1990542
0,2,10,506069,2326333
0,2,10,5773,2097292
0,2,10,86976,1875750
0,2,10,1863,706167
0,2,10,2817,359625
0,2,10,721,385708
0,2,10,83055,688750
0,2,10,587449,2019917
0,2,10,49443,1703959
0,2,10,26331,1911375
0,2,10,12014,828417
0,2,10,269086,1084042
0,2,10,6746,438541
0,2,10,251980,3331875
0,2,10,903858,3194208
0,2,10,354,3125125
0,2,10,996,1243333
0,2,10,971127,2824167
0,2,10,708,2491584
0,2,10,896313,3213958
0,2,10,304687,1773458
0,2,10,4493,1321209
0,2,10,919,1322917
0,2,10,390,680250
0,2,10,208246,900000
0,2,10,8866,590000
0,2,10,886,559542
0,2,10,401,814500
0,2,10,8703,805875
0,2,10,79988,639375
0,2,10,533,1995458
0,2,10,592389,2647208
0,2,10,945,1579583
0,2,10,319586,1754083
0,2,10,16,689875
0,2,10,12,712250
0,2,10,213176,766791
0,2,10,92410,599250
0,2,10,761811,1722667
0,2,10,579,693917
0,2,10,144004,726250
0,2,10,37875,768375
0,2,10,9722,721125
0,2,10,577,708750
0,2,10,6020,667208
0,2,10,7813,937208
0,2,10,162063,1122208
0,2,10,71149,1120583
0,2,10,153,931791
0,2,10,504112,3123834
0,2,10,770494,3260500
0,2,10,48304,2028333
0,2,10,959,419042
0,2,10,782,667875
0,2,10,861,210125
0,2,10,714,766708
0,2,10,355115,904792
0,2,10,2435,760542
0,2,10,201053,860625
0,2,10,40,389750
0,2,10,84083,552334
0,2,10,6142,2171541
0,2,10,631972,3735125
0,2,10,114775,2756791
0,2,10,3807,1976709
0,2,10,639054,2425291
0,2,10,783,387750
0,2,10,570547,1651583
0,2,10,9004,323042
0,2,10,911374,1418916
0,2,10,79995,1372042
0,2,10,4610,1000791
0,2,10,79212,678208
0,2,10,6117,333625
0,2,10,52802,612042
0,2,10,330478,627625
0,2,10,9309,665292
0,2,10,2680,312416
0,2,10,713,440083
0,2,10,24,137667
0,2,10,83565,1574208
0,2,10,6839,849458
0,2,10,3940,797084
0,2,10,374430,1566375
0,2,10,389,764042
0,2,10,5498,874250
0,2,10,644093,1044416
0,2,10,8704,354042
0,2,10,679696,1105042
0,2,10,864787,1975417
0,2,10,344076,2157875
0,2,10,82492,364500
0,2,10,50591,414458
0,2,10,321,1050666
0,2,10,873002,1295500
0,2,10,6007,1052417
0,2,10,5090,244875
0,2,10,898,218750
0,2,10,861,205750
0,2,10,62205,472250
0,2,10,712,562875
0,2,10,2830,558000
0,2,10,76613,684708
0,2,10,62653,663083
0,2,10,905,188584
0,2,10,4097,767417
0,2,10,499327,873625
0,2,10,161,348000
0,2,10,2553,314334
0,2,10,58756,234083
0,2,10,594,196250
0,2,10,315,186000
0,2,10,2140,829042
0,2,10,806640,1015125
0,2,10,40020,785875
0,2,10,506395,708708
0,2,10,33566,653083
0,2,10,6536,1452375
0,2,10,696058,1809666
0,2,10,1931,1420417
0,2,10,567100,1716250
0,2,10,85128,1546125
0,2,10,395,983500
0,2,10,367049,983541
0,2,10,16364,548125
0,2,10,559058,705291
0,2,10,358,592625
0,2,10,37206,528708
0,2,10,126002,564250
0,2,10,36416,468583
0,2,10,223,451833
0,2,10,256,1716041
0,2,10,200870,1743458
0,2,10,450205,1756875
0,2,10,53741,1538667
0,2,10,82010,293167
0,2,10,896508,2144584
0,2,10,458312,1795250
0,2,10,6488,1351709
0,2,10,304274,765667
0,2,10,793,513875
0,2,10,2841,838834
0,2,10,21015,887083
0,2,10,160,852875
0,2,10,9078,829208
0,2,10,98036,771708
0,2,10,509272,1211667
0,2,10,9897,971917
0,2,10,940,733375
0,2,10,11814,767334
0,2,10,7439,745125
0,2,10,9095,758000
0,2,10,65959,421083
0,2,10,294,150709
0,2,10,843394,1022333
0,2,10,797,787875
0,2,10,65869,392000
0,2,10,546,316791
0,2,10,716552,1140750
0,2,10,70745,563917
0,2,10,26555,541083
0,2,10,29015,729709
0,2,10,371473,717459
0,2,10,93810,392084
0,2,10,52048,336708
0,2,10,659225,1314250
0,2,10,55823,802208
0,2,10,13301,788792
0,2,10,29294,680334
0,2,10,5876,297792
0,2,10,55965,228542
0,2,10,32616,610666
0,2,10,65761,580042
0,2,10,157,589542
0,2,10,921260,2498125
0,2,10,78062,605833
0,2,10,18682,540750
0,2,10,243,395750
0,2,10,952,305208
0,2,10,275374,1467875
0,2,10,646705,1087541
0,2,10,701,591875
0,2,10,7948,669000
0,2,10,198,283667
0,2,10,29504,356542
0,2,10,9279,325750
0,2,10,629029,829083
0,2,10,203,171625
0,2,10,744683,4765042
0,2,10,602859,3436833
0,2,10,7283,1849875
0,2,10,814,1859833
0,2,10,8645,1819875
0,2,10,7096,3219834
0,2,10,481793,3619958
0,2,10,245720,1532167
0,2,10,647,1176334
0,2,10,946,358583
0,2,10,695834,3267750
0,2,10,10659,3091458
0,2,10,466610,2843125
0,2,10,8827,1982542
0,2,10,38320,1186667
0,2,10,407,515709
0,2,10,714,421750
0,2,10,861644,1242875
0,2,10,3923,195833
0,2,10,6722,176625
0,2,10,908591,1517666
0,2,10,90839,1340916
0,2,10,27331,1326792
0,2,10,3327,1046416
0,2,10,159,1075750
0,2,10,972,236792
0,2,10,48264,409667
0,2,10,708,272375
0,2,10,211119,480167
0,2,10,427,552083
0,2,10,5535,465666
0,2,10,985,240209
0,2,10,4567,513208
0,2,10,84171,527875
0,2,10,23133,278292
0,2,10,768,245417
0,2,10,93368,300708
0,2,10,4991,251125
0,2,10,8068,303250
0,2,10,4552,948500
0,2,10,507224,1173917
0,2,10,16506,229083
0,2,10,77871,1317166
0,2,10,325540,854125
0,2,10,97,649500
0,2,10,8663,146000
0,2,10,79526,299541
0,2,10,869,746667
0,2,10,106226,829291
0,2,10,574,363083
0,2,10,570357,1758916
0,2,10,979183,3633542
0,2,10,61801,2883583
0,2,10,604626,3564541
0,2,10,650604,3238167
0,2,10,301046,3552083
0,2,10,66285,2062833
0,2,10,485,583834
0,2,10,88720,2111250
0,2,10,233038,1893750
0,2,10,145986,789958
0,2,10,925136,1749583
0,2,10,908195,5051125
0,2,10,740928,4479209
0,2,10,2827,2096458
0,2,10,992,2318958
0,2,10,454,350959
0,2,10,55467,431500
0,2,10,159789,420459
0,2,10,6541,345125
0,2,10,489855,1665708
0,2,10,330,1463500
0,2,10,54715,1461208
0,2,10,88684,858250
0,2,10,3808,521167
0,2,10,678,495958
0,2,10,22933,2101541
0,2,10,81525,2675958
0,2,10,819864,3076708
0,2,10,762,2079750
0,2,10,64982,2809000
0,2,10,646,2810083
0,2,10,597,2836791
0,2,10,162510,1141542
0,2,10,5148,345083
0,2,10,681008,1497292
0,2,10,566773,917625
0,2,10,2974,884833
0,2,10,8193,923542
0,2,10,4210,336125
0,2,10,63513,348708
0,2,10,553,358833
0,2,10,85135,700458
0,2,10,89241,433834
0,2,10,229744,615208
0,2,10,6711,362125
0,2,10,83318,344834
0,2,10,710487,1382084
0,2,10,1493,1013667
0,2,10,740,953042
0,2,10,3195,981958
0,2,10,2855,1078000
0,2,10,250,364000
0,2,10,860340,2110792
0,2,10,3270,1917875
0,2,10,67,1913625
0,2,10,804,776542
0,2,10,115519,3162042
0,2,10,495201,3069666
0,2,10,576,2286875
0,2,10,608,3341125
0,2,10,19837,1916250
0,2,10,472765,2289750
0,2,10,792,1816542
0,2,10,223375,1939084
0,2,10,4706,1770583
0,2,10,914,1780416
0,2,10,2123,1020458
0,2,10,36861,2491375
0,2,10,84205,2656959
0,2,10,7651,1905709
0,2,10,2406,749041
0,2,10,313,464916
0,2,10,70545,682709
0,2,10,2855,466333
0,2,10,2755,372875
0,2,10,5053,501792
0,2,10,357130,637875
0,2,10,8725,541500
0,2,10,27923,577792
0,2,10,788897,2736667
0,2,10,5797,1911333
0,2,10,534673,2368791
0,2,10,4515,814750
0,2,10,56598,1017792
0,2,10,5776,793166
0,2,10,5491,855333
0,2,10,418948,958709
0,2,10,44,154083
0,2,10,684,191334
0,2,10,4540,543667
0,2,10,6727,567958
0,2,10,378,1132833
0,2,10,731347,1309166
0,2,10,33029,561958
0,2,10,53282,568083
0,2,10,43212,622792
0,2,10,4715,233250
0,2,10,296,196500
0,2,10,491357,824167
0,2,10,58100,317750
0,2,10,306322,689500
0,2,10,49945,321083
0,2,10,91618,279291
0,2,10,573,186250
0,2,10,7165,276459
0,2,10,981672,1291542
0,2,10,586,315875
0,2,10,954382,1285375
0,2,10,1360,239125
0,2,10,2889,229125
0,2,10,719,243875
0,2,10,2921,238167
0,2,10,353,164541
0,2,10,64068,2827000
0,2,10,969799,2836209
0,2,10,315,1679750
0,2,10,28356,1783000
0,2,10,663263,2073291
0,2,10,714,877333
0,2,10,15,862875
0,2,10,158561,949000
0,2,10,776,1177084
0,2,10,85033,1300584
0,2,10,72,1192708
0,2,10,56307,606625
0,2,10,5364,485500
0,2,10,327942,944834
0,2,10,774537,1828209
0,2,10,221,1345167
0,2,10,80067,559875
0,2,10,5,571125
0,2,10,26216,561250
0,2,10,16108,536417
